Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
23601,07/22/2010,10/26/2010,2010,Residential   Motor Vehicle Noise,
1992921220,04/21/1992,05/06/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
5509,03/12/1996,11/04/1996,1996,Industrial/commercial   Equipment Noise,
3956,01/10/1995,03/08/1995,1995,Residential   Mechanical,
1992921528,06/26/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1992920818,01/08/1992,02/11/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910362,10/09/1990,10/25/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
6662,12/26/1996,01/13/1997,1996,Residential House/yard,
6062,07/11/1996,08/31/1996,1996,Industrial/commercial  construction/repair/demolit,
23328,05/10/2010,06/15/2010,2010,Waiver Request,
5183,11/29/1995,12/13/1995,1995,Industrial/commercial   Equipment Noise,
20351,05/13/2008,06/10/2008,2008,Residential   El  Amplification Equip,
20211545,04/12/2021,04/13/2021,2021,Residential Muti Tenant Dwelling,
7352,06/02/1997,07/08/1997,1997,Industrial/commercial   Equipment Noise,
1989900166,08/17/1989,08/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
6,01/06/2000,04/26/2000,2000,Industrial/commercial  construction/repair/demolit,
1991920302,09/04/1991,09/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6666,12/30/1996,01/13/1997,1996,Residential House/yard,
6629,12/12/1996,02/14/1997,1996,Residential House/yard,
6554,11/25/1996,07/31/1997,1996,Industrial/commercial  construction/repair/demolit,
23857,09/21/2010,10/07/2010,2010,Industrial/commercial   Equipment Noise,
1991920359,09/12/1991,09/20/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
7491,06/30/1997,07/03/1997,1997,Residential House/yard,
5066,10/25/1995,11/08/1995,1995,Industrial/commercial  construction/repair/demolit,
12708,04/07/2003,04/12/2003,2003,Information Request,
1990901080,05/23/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20344,05/09/2008,11/07/2008,2008,Waiver Request,
1991920667,11/30/1991,11/30/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
12898,05/20/2003,05/20/2003,2003,Information Request,
9240,11/12/1999,01/31/2000,1999,Industrial/commercial  construction/repair/demolit,
7290,05/15/1997,05/28/1997,1997,Industrial/commercial   Equipment Noise,
23626,07/28/2010,08/09/2010,2010,Residential   Mechanical,
5783,05/06/1996,10/10/1996,1996,Residential   Motor Vehicle Noise,
20813,09/10/2008,12/09/2008,2008,Industrial/commercial   Equipment Noise,
15312,09/24/2004,11/26/2004,2004,Industrial/commercial   Equipment Noise,
7443,06/18/1997,06/27/1997,1997,Industrial/commercial  construction/repair/demolit,
1991920073,07/18/1991,09/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1989900401,10/30/1989,11/16/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
26561,06/21/2012,08/21/2012,2012,Waiver Request,
4117,02/28/1995,03/13/1995,1995,Industrial/commercial   Equipment Noise,
5252,01/02/1996,02/12/1996,1996,Industrial/commercial   Equipment Noise,
1991920513,10/15/1991,10/31/1991,1991,Industrial/commercial   Refuse Noise Collection,
6420,10/07/1996,10/24/1996,1996,Industrial/commercial   Equipment Noise,
1990900554,01/09/1990,01/30/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20151457,04/16/2015,06/24/2015,2015,Residential   Construction/repair/demolition,
4427,05/15/1995,06/16/1995,1995,Residential House/yard,
3027,03/28/1994,03/28/1994,1994,Industrial/commercial   Equipment Noise,
1990910082,07/27/1990,08/24/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
5001,10/13/1995,11/01/1995,1995,Industrial/commercial   Equipment Noise,
4194,03/22/1995,03/28/1995,1995,Residential House/yard,
1990900980,05/02/1990,08/02/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4774,08/11/1995,08/08/1995,1995,Residential   Mechanical,
20202175,07/16/2020,07/30/2020,2020,Information Request,
23021,03/11/2010,05/14/2010,2010,Waiver Request,
1991920446,09/30/1991,10/21/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
14437,04/07/2004,06/21/2004,2004,Industrial/commercial   Equipment Noise,
1991910732,01/24/1991,01/24/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
5872,05/23/1996,06/27/1996,1996,Industrial/commercial   Equipment Noise,
1989900361,10/17/1989,10/27/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
15614,12/03/2004,12/03/2004,2004,Industrial/commercial   Refuse Noise Collection,
1990901200,06/15/1990,07/16/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
24991,05/25/2011,06/28/2011,2011,Residential   Mechanical,
1991910772,01/30/1991,02/21/1991,1991,Waiver Request,
1991911293,05/07/1991,06/11/1991,1991,Residential Muti Tenant Dwelling,
1992921524,06/25/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910615,12/10/1990,01/15/1991,1990,Noise Industrial/commercial   Leaf Blower Noise,
1991920012,07/02/1991,03/06/1992,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991920343,09/11/1991,11/06/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
13010,06/19/2003,07/18/2003,2003,Industrial/commercial   Electrical Amp Equip,
13015,05/30/2003,05/30/2003,2003,Residential   El  Amplification Equip,
7058,04/02/1997,04/04/1997,1997,Industrial/commercial   Electrical Amp Equip,
1992921019,02/24/1992,04/20/1992,1992,Industrial/commercial   Refuse Noise Collection,
1991911521,06/17/1991,06/20/1991,1991,Residential Muti Tenant Dwelling,
10463,11/02/1998,11/28/1998,1998,Residential   El  Amplification Equip,
6441,10/17/1996,10/29/1996,1996,Industrial/commercial   Equipment Noise,
