licensee_name,street,city,state,zip,licensee_number,channel_type,account_name,rtd_contract,location
BOUBOULINA,921 MEETING ST,north_bethesda,MD,20852,BBWLHR1272550,On Premise,"BOUBOULINA, LLC",No,921 MEETING ST NORTH BETHESDA MD 20852
BOYD'S COUNTRY STORE,15110 BARNESVILLE ROAD,boyds,MD,20841,DBW1016423,On/Off-Premise,P AND V GROUP LLC,Yes,15110 BARNESVILLE ROAD BOYDS MD 20841
BRADLEY FOOD & BEVERAGE,6904 ARLINGTON ROAD,bethesda,MD,20814,DBW130,On/Off-Premise,"BRADLEY FOOD & BEVERAGE, INC.",Yes,6904 ARLINGTON ROAD BETHESDA MD 20814
BRAZIL GOURMET PIZZERIA & GRILL,9870 MAIN STREET,damascus,MD,20872,HBWHR462303,On Premise,"BRAZIL GOURMET, LLC",No,9870 MAIN STREET DAMASCUS MD 20872
BRETTON WOODS RECREATION CENTER,15700 RIVER ROAD,germantown,MD,20874,CBWLCCO006,On Premise,"BRETTON WOODS REC. CENTER, INC",No,15700 RIVER ROAD GERMANTOWN MD 20874
BREW BELLY,18065 GEORGIA AVE,olney,MD,20832,BDBWL31001,On/Off-Premise,"BREW BELLY, LLC",No,18065 GEORGIA AVE OLNEY MD 20832
BREWS AND BARRELS,625 CENTER POINT WAY,gaithersburg,MD,20878,BBWLHR224259,On Premise,"MAHI RESTAURANT, INC.",No,625 CENTER POINT WAY GAITHERSBURG MD 20878
BRIGGS CHANEY DELI,13832 OUTLET DRIVE,silver_spring,MD,20904,DBW150,On/Off-Premise,"TALATI ENTERPRISES, INC",Yes,13832 OUTLET DRIVE SILVER SPRING MD 20904
BRIGHTON BEER & WINE,225 MUDDY BRANCH ROAD,gaithersburg,MD,20878,ABW23906,Off Premise,"NDA GROUP, INC",Yes,225 MUDDY BRANCH ROAD GAITHERSBURG MD 20878
BROOKVILLE EATERY,8921 BROOKVILLE ROAD,silver_spring,MD,20910,ABW026,Off Premise,"BROOKVILLE EATERY ,INC.",No,8921 BROOKVILLE ROAD SILVER SPRING MD 20910
BROOKVILLE MARKET,7027 BROOKVILLE ROAD,chevy_chase,MD,20815,ABWS1990544,Off Premise,BROOKVILLE GROCERY LLC,No,7027 BROOKVILLE ROAD CHEVY CHASE MD 20815
BT'S BETHESDA,4866 CORDELL AVENUE,bethesda,MD,20814,BDBWL1447544,On/Off-Premise,"4866 LIBERTY, LLC",No,4866 CORDELL AVENUE BETHESDA MD 20814
